"Stage1Path","ConsolidatedPath","Stage1SHA256","ConsolidatedSHA256","Status","Explanation"
".gitignore",".gitignore","F379F95572C48499A809F91DDBB97FFE4A5A97F766D0BC90D052CD59B10F912F","1DD3D0259C3638503BC2A7C44C5E60D4422C41325889190FB280ADAE0B57FC40","EXPLAINED_CHANGE","Consolidation hardening adds archive, credential, build, cache, and IDE exclusions."
"00_Docs\archive\phase20\PHASE_20B_REVIEW_PACKAGE.md","00_Docs\archive\phase20\PHASE_20B_REVIEW_PACKAGE.md","2D6F0CD39ABA4CA807ED4ED9C687178CCA5B47F6340F7D21EB664A22639DBB89","2D6F0CD39ABA4CA807ED4ED9C687178CCA5B47F6340F7D21EB664A22639DBB89","MATCH",""
"00_Docs\archive\phase20\PHASE_20C_REVIEW_PACKAGE.md","00_Docs\archive\phase20\PHASE_20C_REVIEW_PACKAGE.md","30775835E4EDAF68D53010CB637DE3BF2536E3F31BD3D85EA9963A8015D9FBDA","30775835E4EDAF68D53010CB637DE3BF2536E3F31BD3D85EA9963A8015D9FBDA","MATCH",""
"00_Docs\archive\phase20\PHASE_20D_REVIEW_PACKAGE.md","00_Docs\archive\phase20\PHASE_20D_REVIEW_PACKAGE.md","87D317833B52E132C42B04BEAF71C3BDC26F0F9A027F426945ABB53138B93987","87D317833B52E132C42B04BEAF71C3BDC26F0F9A027F426945ABB53138B93987","MATCH",""
"00_Docs\CODEX_INSTRUCTIONS.md","00_Docs\CODEX_INSTRUCTIONS.md","C617F0928988182A86B58480F3E72EA35CB3549FFFFE0111924C22E28F7931C6","C617F0928988182A86B58480F3E72EA35CB3549FFFFE0111924C22E28F7931C6","MATCH",""
"00_Docs\Database_Schema.md","00_Docs\Database_Schema.md","9D46A5C57212FE71A6F89CE4C3C5BC94CA74D8D51B2B0BC5C5F7772DB663EA60","9D46A5C57212FE71A6F89CE4C3C5BC94CA74D8D51B2B0BC5C5F7772DB663EA60","MATCH",""
"00_Docs\DEMO_CHECKLIST_AUTO_DOSING.md","00_Docs\DEMO_CHECKLIST_AUTO_DOSING.md","FAF24107744BB8F5921C6D29064F1C1A34AA437B32D940577AFE8B82203B9193","FAF24107744BB8F5921C6D29064F1C1A34AA437B32D940577AFE8B82203B9193","MATCH",""
"00_Docs\EC_TDS_Calibration.md","00_Docs\EC_TDS_Calibration.md","0178EE22BE9F5FF8C53481C80EA5DE977EB1B080917E59FC0B335F617C75D31B","0178EE22BE9F5FF8C53481C80EA5DE977EB1B080917E59FC0B335F617C75D31B","MATCH",""
"00_Docs\MAIN_REPORT_PHASE20D_DOCX_UPDATE_REVIEW.md","00_Docs\MAIN_REPORT_PHASE20D_DOCX_UPDATE_REVIEW.md","F9E2A07AC226B897D80AF89C58684A7C1C34E31ABB04B9A1B314189A1DA3C302","F9E2A07AC226B897D80AF89C58684A7C1C34E31ABB04B9A1B314189A1DA3C302","MATCH",""
"00_Docs\MQTT_Topics.md","00_Docs\MQTT_Topics.md","8C31A1DB609C1AED5945F9D50EC909F4FAD32FC4193E2CCDA54755B95519DEC7","8C31A1DB609C1AED5945F9D50EC909F4FAD32FC4193E2CCDA54755B95519DEC7","MATCH",""
"00_Docs\Payload_Format.md","00_Docs\Payload_Format.md","3A1BE20708ED89BA9BEB80F54A6B11FBA08E048C44E3CD08B20814D28FEFD9DD","3A1BE20708ED89BA9BEB80F54A6B11FBA08E048C44E3CD08B20814D28FEFD9DD","MATCH",""
"00_Docs\Pin_Map.md","00_Docs\Pin_Map.md","07D5A0BDBF392D51443A56C6BC1215EFFE91016556DD9EAF529196D949895043","07D5A0BDBF392D51443A56C6BC1215EFFE91016556DD9EAF529196D949895043","MATCH",""
