"Tree","Role","RelativePath","Length","SHA256","Classification"
"Hydroponic_IoT_ESP32","Git source of record",".gitignore","280","1DD3D0259C3638503BC2A7C44C5E60D4422C41325889190FB280ADAE0B57FC40","SourceOrDocumentation"
"Hydroponic_IoT_ESP32","Git source of record","00_Docs\archive\phase20\PHASE_20B_REVIEW_PACKAGE.md","36202","2D6F0CD39ABA4CA807ED4ED9C687178CCA5B47F6340F7D21EB664A22639DBB89","SourceOrDocumentation"
"Hydroponic_IoT_ESP32","Git source of record","00_Docs\archive\phase20\PHASE_20C_REVIEW_PACKAGE.md","8453","30775835E4EDAF68D53010CB637DE3BF2536E3F31BD3D85EA9963A8015D9FBDA","SourceOrDocumentation"
"Hydroponic_IoT_ESP32","Git source of record","00_Docs\archive\phase20\PHASE_20D_REVIEW_PACKAGE.md","5035","87D317833B52E132C42B04BEAF71C3BDC26F0F9A027F426945ABB53138B93987","SourceOrDocumentation"
"Hydroponic_IoT_ESP32","Git source of record","00_Docs\CODEX_INSTRUCTIONS.md","1026","C617F0928988182A86B58480F3E72EA35CB3549FFFFE0111924C22E28F7931C6","SourceOrDocumentation"
"Hydroponic_IoT_ESP32","Git source of record","00_Docs\Database_Schema.md","3751","9D46A5C57212FE71A6F89CE4C3C5BC94CA74D8D51B2B0BC5C5F7772DB663EA60","SourceOrDocumentation"
"Hydroponic_IoT_ESP32","Git source of record","00_Docs\DEMO_CHECKLIST_AUTO_DOSING.md","4897","FAF24107744BB8F5921C6D29064F1C1A34AA437B32D940577AFE8B82203B9193","SourceOrDocumentation"
"Hydroponic_IoT_ESP32","Git source of record","00_Docs\EC_TDS_Calibration.md","2027","0178EE22BE9F5FF8C53481C80EA5DE977EB1B080917E59FC0B335F617C75D31B","SourceOrDocumentation"
"Hydroponic_IoT_ESP32","Git source of record","00_Docs\MAIN_REPORT_PHASE20D_DOCX_UPDATE_REVIEW.md","6298","F9E2A07AC226B897D80AF89C58684A7C1C34E31ABB04B9A1B314189A1DA3C302","SourceOrDocumentation"
"Hydroponic_IoT_ESP32","Git source of record","00_Docs\MQTT_Topics.md","665","8C31A1DB609C1AED5945F9D50EC909F4FAD32FC4193E2CCDA54755B95519DEC7","SourceOrDocumentation"
"Hydroponic_IoT_ESP32","Git source of record","00_Docs\Patches\CODEX_PHASE22B_STAGE1_PREFLIGHT.patch","71647","2FE9A2817E6C3F36369C7A7BEAA7E8FA891465ECC7014A93434F465877FE2D82","SourceOrDocumentation"
"Hydroponic_IoT_ESP32","Git source of record","00_Docs\Payload_Format.md","2984","3A1BE20708ED89BA9BEB80F54A6B11FBA08E048C44E3CD08B20814D28FEFD9DD","SourceOrDocumentation"
"Hydroponic_IoT_ESP32","Git source of record","00_Docs\Phase_Reports\CODEX_PHASE21_FIX1_FINAL_REPORT.md","22424","4BE903CFBAACBFA81448B37A3A4EB5148E2863EE03D0D72CE5D4507F26CDF9A8","SourceOrDocumentation"
"Hydroponic_IoT_ESP32","Git source of record","00_Docs\Phase_Reports\CODEX_PHASE21_FIX2_FINAL_REPORT.md","15051","398352EC2E21719D69554F0C035277958478ACFC20079E321F98935F443E08F6","SourceOrDocumentation"
"Hydroponic_IoT_ESP32","Git source of record","00_Docs\Phase_Reports\CODEX_PHASE22A_FINAL_REPORT.md","27850","FC14F1E25C244346776FDC7DDCB76A4693A22EE995F7C4F9FCB1E9BB219EB3B4","SourceOrDocumentation"
"Hydroponic_IoT_ESP32","Git source of record","00_Docs\Phase_Reports\CODEX_PHASE22A_FIX2_FINAL_REPORT.md","17993","B258839B3DC936CECE97D504805820FAEE9291F594B49B59BF7333DC9590611B","SourceOrDocumentation"
"Hydroponic_IoT_ESP32","Git source of record","00_Docs\Phase_Reports\CODEX_PHASE22B_STAGE0_REPORT.md","10058","B08AAB6A00FC51115ECC254BB65EBF39A2B490AA3441A9F4AE46ACDCC30587CE","SourceOrDocumentation"
"Hydroponic_IoT_ESP32","Git source of record","00_Docs\Phase_Reports\CODEX_PHASE22B_STAGE1_PREFLIGHT_REPORT.md","12730","AB006ABED86C1B0CB46CE9745DCCCBA55E6D583F4CDBBAD0EBAB58DF8D44BE14","SourceOrDocumentation"
"Hydroponic_IoT_ESP32","Git source of record","00_Docs\Phase_Reports\PHASE21_FIX1_REAUDIT_AND_CLEANUP_PLAN.md","15507","FF790BEFBE7C76A510EC272C54D8F5E77CEC713BAA515BC0040DBD6CD9346660","SourceOrDocumentation"
"Hydroponic_IoT_ESP32","Git source of record","00_Docs\Phase_Reports\PHASE21_INDEPENDENT_AUDIT.md","17393","D307C4A9B308A9DF3B48E3932B5D8068A1A25EFAE1BA8036247FA664DB5612DB","SourceOrDocumentation"
